True Amplitude,Delta,Theta,Low Alpha,High Alpha,Low Beta,High Beta,Low Gamma,Mid Gamma
13600,3.6288303391489706e-06,1.7574232778488686e-05,1.7410290745455534e-05,1.972684769944318e-05,1.918821049801134e-05,1.6126800767692875e-05,8.816646029904814e-06,3.0780585121429098e-06
13700,3.630487898563785e-06,1.7590017056736926e-05,1.7060534644016985e-05,1.9973050589960986e-05,1.932482291290086e-05,1.5975868381001582e-05,8.547363866674882e-06,3.073972707583436e-06
13800,3.6321346988538674e-06,1.7606092175457964e-05,1.6675199702065552e-05,2.022168391435243e-05,1.9527651462842044e-05,1.5864586785382205e-05,8.355381221942284e-06,3.0978210840497632e-06
13900,3.633770733817936e-06,1.762233162376892e-05,1.626004705244749e-05,2.0468028645598935e-05,1.9796162346002915e-05,1.578401757460981e-05,8.255625029914394e-06,3.1493616108911783e-06
14000,3.6353959973851774e-06,1.7638609282044796e-05,1.5822276294741696e-05,2.070747970385938e-05,2.0128259382318732e-05,1.572706480108288e-05,8.26203962524652e-06,3.2277109710009496e-06
14100,3.6370104836152522e-06,1.7654799730612815e-05,1.537017212807779e-05,2.0935664559544186e-05,2.0520317897343788e-05,1.568858037340567e-05,8.384207580902093e-06,3.3304455393939627e-06
14200,3.6386141866982992e-06,1.7670778544095547e-05,1.4912702247531356e-05,2.1148554560461373e-05,2.096725285700227e-05,1.5665195014385635e-05,8.623895854334292e-06,3.4530418045541817e-06
14300,3.640207100954943e-06,1.7686422570818963e-05,1.4459090613448133e-05,2.134255832196855e-05,2.1462617545090296e-05,1.5655085134655668e-05,8.972101649690475e-06,3.5887357521464335e-06
14400,3.64178922083629e-06,1.770161019681678e-05,1.4018391061366214e-05,2.1514588473807655e-05,2.1998729158862157e-05,1.565782639140416e-05,9.407279422876132e-06,3.728828102107462e-06
14500,3.6433605409239314e-06,1.771622159407906e-05,1.3599085339225368e-05,2.1662096302517827e-05,2.2566817942667614e-05,1.5674415828754062e-05,9.895384952490641e-06,3.863395909548357e-06
14600,3.644921055929932e-06,1.773013895280901e-05,1.320872719401571e-05,2.1783072922108315e-05,2.3157196798380782e-05,1.570747665928691e-05,1.0392130022301861e-05,3.982305957885431e-06
14700,3.646470760696828e-06,1.774324669756627e-05,1.2853650357245163e-05,2.1876019946251033e-05,2.3759448618426747e-05,1.5761593281919994e-05,1.0847419252829995e-05,4.07637543061713e-06
